t,x1,x2,p1,p2
0,-2.666666667,0,0,8
0.05,-2.656833333,-0.39,0,7.6
0.1,-2.628,-0.76,0,7.2
0.15,-2.581166667,-1.11,0,6.8
0.2,-2.517333333,-1.44,0,6.4
0.25,-2.4375,-1.75,0,6
0.3,-2.342666667,-2.04,0,5.6
0.35,-2.233833333,-2.31,0,5.2
0.4,-2.112,-2.56,0,4.8
0.45,-1.978166667,-2.79,0,4.4
0.5,-1.833333333,-3,0,4
0.55,-1.6785,-3.19,0,3.6
0.6,-1.514666667,-3.36,0,3.2
0.65,-1.342833333,-3.51,0,2.8
0.7,-1.164,-3.64,0,2.4
0.75,-0.979166667,-3.75,0,2
0.8,-0.789333333,-3.84,0,1.6
0.85,-0.5955,-3.91,0,1.2
0.9,-0.398666667,-3.96,0,0.8
0.95,-0.199833333,-3.99,0,0.4
1,0,-4,0,0
